TEAM,LEAGUE,GAMES,WINS,LOSES,RUNS,RUNS_ALLOWED,SOS,SRS,PYTHWL,PYTHLUCK,INTER,HOME,ROAD,EXINNING,1RUN,VRHP,VLHP,OVER500,UNDER500
CHC,NL,162,103,58,5,3.4,-0.2,1.3,107-54,-4,15-5,57-24,46-34,4-Sep,22-23,75-41,28-17,31-25,72-33
TEX,AL,162,95,67,4.7,4.7,0.1,0.2,82-80,13,13-7,53-28,42-39,6-Jun,36-11,73-48,22-19,60-31,35-36
WSN,NL,162,95,67,4.7,3.8,-0.3,0.6,97-65,-2,8-Dec,50-31,45-36,8-May,26-19,75-53,20-14,31-29,64-38
CLE,AL,161,94,67,4.8,4.2,0,0.6,91-70,3,13-7,53-28,41-39,6-Jun,28-21,63-47,31-20,48-43,46-24
BOS,AL,162,93,69,5.4,4.3,0.1,1.3,98-64,-5,14-6,47-34,46-35,4-Jul,20-24,73-52,20-17,55-48,38-21
LAD,NL,162,91,71,4.5,3.9,-0.2,0.4,90-72,1,10-Oct,53-28,38-43,8-Jun,22-20,69-47,22-24,31-26,60-45
TOR,AL,162,89,73,4.7,4.1,0.2,0.8,91-71,-2,13-7,46-35,43-38,9-Apr,21-25,65-53,24-20,58-45,31-28
BAL,AL,162,89,73,4.6,4.4,0.3,0.4,84-78,5,14-6,50-31,39-42,2-Jun,21-16,66-50,23-23,53-54,36-19
SFG,NL,162,87,75,4.4,3.9,-0.2,0.3,90-72,-3,12-Aug,45-36,42-39,7-Nov,28-27,57-53,30-22,27-33,60-42
NYM,NL,162,87,75,4.1,3.8,-0.3,0.1,87-75,0,8-Dec,44-37,43-38,5-Aug,25-22,68-57,19-18,30-30,57-45
DET,AL,161,86,75,4.7,4.5,0,0.2,83-78,3,13-7,45-35,41-40,4-May,26-17,62-53,24-22,37-52,49-23
SEA,AL,162,86,76,4.7,4.4,0.1,0.5,87-75,-1,13-7,44-37,42-39,8-Sep,30-30,62-42,24-34,44-47,42-29
STL,NL,162,86,76,4.8,4.4,-0.1,0.3,88-74,-2,12-Aug,38-43,48-33,3-Apr,24-23,66-52,20-24,24-35,62-41
HOU,AL,162,84,78,4.5,4.3,0.1,0.3,83-79,1,9-Nov,43-38,41-40,8-Oct,28-25,57-52,27-26,39-53,45-25
NYY,AL,162,84,78,4.2,4.3,0.3,0.1,79-83,5,12-Aug,48-33,36-45,3-Apr,24-12,59-52,25-26,52-54,32-24
KCR,AL,162,81,81,4.2,4.4,0.1,-0.2,77-85,4,10-Oct,47-34,34-47,3-Jul,23-25,60-59,21-22,40-55,41-26
MIA,NL,161,79,82,4.1,4.2,-0.2,-0.4,78-83,1,14-Jun,40-40,39-42,7-Apr,22-24,57-70,22-12,32-43,47-39
PIT,NL,162,78,83,4.5,4.7,-0.1,-0.2,78-83,0,11-Sep,38-42,40-41,5-Aug,20-21,58-74,20-9,32-45,46-38
CHW,AL,162,78,84,4.2,4.4,0.1,-0.1,78-84,0,11-Sep,45-36,33-48,7-Aug,23-29,58-66,20-18,51-61,27-23
COL,NL,162,75,87,5.2,5.3,-0.1,-0.2,80-82,-5,11-Sep,42-39,33-48,6-Mar,20-Dec,56-58,19-29,40-40,35-47
LAA,AL,162,74,88,4.4,4.5,0.2,0.1,80-82,-6,11-Sep,40-41,34-47,0-4,17-20,53-66,21-22,46-68,28-20
MIL,NL,162,73,89,4.1,4.5,-0.1,-0.5,74-88,-1,9-Nov,41-40,32-49,9-Apr,23-28,43-70,30-19,27-46,46-43
PHI,NL,162,71,91,3.8,4.9,-0.1,-1.3,62-100,9,9-Nov,37-44,34-47,6-Jul,28-23,54-74,17-17,27-49,44-42
ARI,NL,162,69,93,4.6,5.5,0,-0.9,69-93,0,15-May,33-48,36-45,8-Aug,22-17,46-71,23-22,30-52,39-41
OAK,AL,162,69,93,4,4.7,0.2,-0.5,70-92,-1,13-Jul,34-47,35-46,5-Jun,25-28,53-67,16-26,49-64,20-29
ATL,NL,161,68,93,4,4.8,-0.1,-0.9,67-94,1,12-Aug,31-50,37-43,11-Nov,21-22,52-62,16-31,27-49,41-44
TBR,AL,162,68,94,4.1,4.4,0.3,0,77-85,-9,10-Oct,36-45,32-49,3-Apr,13-27,50-68,18-26,47-74,21-20
CIN,NL,162,68,94,4.4,5.3,0,-0.8,68-94,0,15-May,38-43,30-51,10-Mar,22-27,54-74,14-20,24-54,44-40
SDP,NL,162,68,94,4.2,4.8,-0.1,-0.6,72-90,-4,14-Jun,39-42,29-52,6-Jun,19-31,47-72,21-22,32-50,36-44
MIN,AL,162,59,103,4.5,5.5,0.1,-0.9,66-96,-7,12-Aug,30-51,29-52,10-Jun,15-29,38-78,21-25,35-75,24-28